Toll Plaza Name,Latitude,Longitude
Aganampudi,17.6860122,83.1354763
Amakathadu,15.4864453,77.90109860000001
Annampalli,16.6740894,82.1389389
Badava,16.428,81.7561994
Bandlapalli,14.454219,77.9748671
Basapuram,15.6020982,77.2232628
Bathalapalli,12.9297405,78.6804321
Bollapalli,17.4730093,81.3097047
Brahmanapalli,18.8035843,79.3830071
Chapirevula,15.4543667,78.4347067
Chilakapalem,18.2738888,83.8025092
Chillakallu,16.8965985,80.1427326
Chintalapalem,17.8693736,83.19736253123656
Cholasamudram,13.8072663,77.5656495
DC PALLI,24.038092,90.7380995
Dukkavanipalem,17.8853355,83.3517569
Gadanki,13.4586622,79.173038
Gantyada,18.1419646,83.2975486
Gollaprolu,17.1560346,82.286621
Halaharvi,15.2830881,77.1822262229128
Jallipalli,14.3712713,77.2686263
Jonnada,18.0265966,83.4061689
Kalaparru,16.6712247,81.0120815
Kasepalli,15.050179,77.6430096
Kaza,48.2853478,20.5842079
Keesara,17.5249309,78.6665345
Krishnavaram,17.2163531,82.114313
Laxmipuram,18.4060891,83.655126
Madapam,18.3746255,83.9941465
Mahasamudram,13.1864956,79.0073044
Marripalem,17.7423799,83.2461159
Marur,10.878505,79.0270742
Medapi,16.0351668,79.4995818
Munjuluru,16.3105879,81.2152827
Nannur,15.7188523,78.0859222
Nathavalasa/ Vizianagaram,18.0628624,83.5246275
Palempalli,14.5133794,78.7908645
Panchvati,20.0064427,73.7933035
Pandillapalli,17.1468801,80.1760121
Panthangi,17.2474224,78.9586634
Pottipadu,16.4016555,80.8450627
Pullur,15.8756533,77.9976081
Raikal,18.9047907,78.8080213
Rapur,14.2008674,79.5332484
Rolla,37.9509324,-91.7708076
Seetharampuram,18.5282416,83.2835555
Shakhapur,16.546295,77.9528153
Tangatur,14.8853026,78.6154162
Unguturu,16.8243689,81.4226956
Vaddupalli,13.3370417,79.0302452
Veeravalli,16.6113655,80.9154691
Vempadu,17.3865391,82.6628508
Yerradoddi,15.671633,77.8791344
Galia,-22.2936976,-49.5516228
Madanpur,23.0054108,88.4898057
Manderdisa,25.7196912,93.1275255
Patgaon,16.9475165,74.6983033
Raha(Saragaon),26.2511804,92.5528152
Telipara,25.59390415,89.65125516934098
Asanpur,24.8362767,87.86045864088616
Bhagalpur,25.286135350000002,87.13042293057262
Bishunpurwa,27.0844023,83.2702277
Kharik,25.38456885,87.00590654152865
Maithi,26.125395,85.5711338
Maranga,-21.8003155,48.1393245
Mohania,25.1676579,83.621622
Sasaram,24.9509656,84.0148733
Saukala,29.90153410586339,79.53303945257085
Shahpur,27.3835175,75.9624195
Toda,35.8175874,139.6778944
Bhojpuri,27.9605947,76.4735555
Chotiya,22.75877275,75.10275477685963
Dhank,21.7747571,70.1315151
Kumhari,21.2546406,81.5218991
Mandir Hasaud,21.2260053,81.7737601
Mashora,31.7983784,77.187746
Pachira,26.5586086,87.2527098
Sundar Nagar,17.7973072,83.3577635
Bhagan,10.488303637115846,-61.42139690594111
IGI Airport,28.5564626,77.0866995
Karman,27.86056185,77.40946786109964
Kathuwas,28.1360695,76.3466119
Ahmedabad,23.0215374,72.5800568
Anand,22.5586555,72.9627227
Bhatia,24.43354155,80.41669429109558
Bhiladi,24.1802399,72.0010847
Bhordu,22.405252500000003,74.36740495029252
Dari,21.3268106,71.0277424
Gadoi,43.5292553,-8.1844757
Gorsar,21.3330631,69.9004146
Khemana,25.3298881,74.1399693
Kobadi,10.2052807,-13.3532684
